file,bug,bf,loc,hcm,defect
org::eclipse::jdt::core::dom::MethodDeclaration,0,15,319,7.18067,0
org::eclipse::jdt::core::dom::MethodInvocation,0,11,137,8.63149,0
org::eclipse::jdt::core::dom::MethodRef,0,3,109,6.70304,0
org::eclipse::jdt::core::dom::MethodRefParameter,0,5,121,5.59671,0
org::eclipse::jdt::core::dom::Modifier,0,6,96,7.27499,0
org::eclipse::jdt::core::dom::Name,0,2,22,6.70304,0
org::eclipse::jdt::core::dom::NodeEventHandler,0,2,43,6.44569,0
org::eclipse::jdt::core::dom::NodeSearcher,0,1,11,4.07501,0
org::eclipse::jdt::core::dom::NormalAnnotation,0,4,67,5.59671,0
org::eclipse::jdt::core::dom::NullLiteral,0,5,31,7.95479,0
org::eclipse::jdt::core::dom::NumberLiteral,0,7,97,10.8068,0
org::eclipse::jdt::core::dom::PackageBinding,0,18,155,19.5611,0
org::eclipse::jdt::core::dom::PackageDeclaration,0,11,130,9.21914,0
org::eclipse::jdt::core::dom::ParameterizedType,0,6,88,6.78585,0
org::eclipse::jdt::core::dom::ParenthesizedExpression,0,8,71,7.95479,0
org::eclipse::jdt::core::dom::PostfixExpression,0,8,96,7.95479,0
org::eclipse::jdt::core::dom::PrefixExpression,0,8,97,7.95479,0
org::eclipse::jdt::core::dom::PrimitiveType,0,7,59,7.95479,0
org::eclipse::jdt::core::dom::QualifiedName,0,14,110,6.36941,0
org::eclipse::jdt::core::dom::QualifiedType,0,6,107,6.78585,0
org::eclipse::jdt::core::dom::RecoveredTypeBinding,0,10,402,7.87568,0
org::eclipse::jdt::core::dom::RecoveredVariableBinding,0,4,87,2.38353,0
org::eclipse::jdt::core::dom::ReturnStatement,0,6,60,7.95479,0
org::eclipse::jdt::core::dom::rewrite::ASTRewrite,1,13,281,22.3224,1
org::eclipse::jdt::core::dom::rewrite::ImportRewrite,0,7,356,8.98775,0
org::eclipse::jdt::core::dom::rewrite::ListRewrite,0,3,128,8.43424,0
org::eclipse::jdt::core::dom::rewrite::TargetSourceRangeComputer,0,2,11,5.76357,0
org::eclipse::jdt::core::dom::SimpleName,0,13,124,10.6043,0
org::eclipse::jdt::core::dom::SimplePropertyDescriptor,0,1,14,6.70304,0
org::eclipse::jdt::core::dom::SimpleType,0,9,72,7.95479,0
org::eclipse::jdt::core::dom::SingleMemberAnnotation,0,5,87,5.59671,0
org::eclipse::jdt::core::dom::SingleVariableDeclaration,0,13,257,6.84846,0
org::eclipse::jdt::core::dom::Statement,0,7,48,4.07501,0
org::eclipse::jdt::core::dom::StringLiteral,1,10,166,11.4275,1
org::eclipse::jdt::core::dom::StructuralPropertyDescriptor,0,1,44,6.70304,0
org::eclipse::jdt::core::dom::SuperConstructorInvocation,0,8,101,6.84846,0
org::eclipse::jdt::core::dom::SuperFieldAccess,0,10,96,7.95479,0
org::eclipse::jdt::core::dom::SuperMethodInvocation,0,11,136,8.63149,0
org::eclipse::jdt::core::dom::SwitchCase,0,9,75,7.95479,0
org::eclipse::jdt::core::dom::SwitchStatement,0,9,86,9.21692,0
org::eclipse::jdt::core::dom::SynchronizedStatement,0,8,106,7.95479,0
org::eclipse::jdt::core::dom::TagElement,0,9,70,7.95479,0
org::eclipse::jdt::core::dom::TextElement,0,5,63,10.4485,0
org::eclipse::jdt::core::dom::ThisExpression,0,8,59,7.95479,0
org::eclipse::jdt::core::dom::ThrowStatement,0,8,72,7.95479,0
org::eclipse::jdt::core::dom::TryStatement,0,8,108,7.95479,0
org::eclipse::jdt::core::dom::Type,0,2,24,2.96868,0
org::eclipse::jdt::core::dom::TypeBinding,1,89,952,33.5493,1
org::eclipse::jdt::core::dom::TypeDeclaration,0,18,303,10.2923,0
org::eclipse::jdt::core::dom::TypeDeclarationStatement,0,12,123,9.21914,0
org::eclipse::jdt::core::dom::TypeLiteral,0,8,72,7.95479,0
org::eclipse::jdt::core::dom::TypeParameter,0,5,91,8.43242,0
org::eclipse::jdt::core::dom::VariableBinding,0,32,232,20.5304,0
org::eclipse::jdt::core::dom::VariableDeclaration,0,3,15,4.07501,0
org::eclipse::jdt::core::dom::VariableDeclarationExpression,0,11,156,6.84846,0
org::eclipse::jdt::core::dom::VariableDeclarationFragment,0,10,127,7.95479,0
org::eclipse::jdt::core::dom::VariableDeclarationStatement,0,11,155,6.84846,0
org::eclipse::jdt::core::dom::WhileStatement,0,9,106,7.95479,0
org::eclipse::jdt::core::dom::WildcardType,0,4,80,6.84846,0
org::eclipse::jdt::core::ElementChangedEvent,0,0,10,7.70736,0
org::eclipse::jdt::core::Flags,0,2,95,7.83265,0
org::eclipse::jdt::core::formatter::CodeFormatter,0,13,3,10.425,0
org::eclipse::jdt::core::formatter::CodeFormatterApplication,0,6,200,12.4195,0
org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants,2,62,177,26.6608,1
org::eclipse::jdt::core::formatter::IndentManipulation,0,3,235,6.49924,0
org::eclipse::jdt::core::JavaConventions,1,24,219,18.7552,1
org::eclipse::jdt::core::JavaCore,4,172,1058,45.5046,1
org::eclipse::jdt::core::JavaModelException,0,3,52,6.00951,0
org::eclipse::jdt::core::jdom::DOMException,0,1,3,4.07501,0
org::eclipse::jdt::core::jdom::DOMFactory,0,3,52,8.22982,0
org::eclipse::jdt::core::JDTCompilerAdapter,0,30,21,15.5832,0
org::eclipse::jdt::core::NamingConventions,2,9,142,9.2993,1
org::eclipse::jdt::core::search::FieldDeclarationMatch,0,0,3,4.07501,0
org::eclipse::jdt::core::search::FieldReferenceMatch,1,3,11,6.22874,1
org::eclipse::jdt::core::search::LocalVariableDeclarationMatch,0,0,3,4.07501,0
org::eclipse::jdt::core::search::LocalVariableReferenceMatch,0,2,12,4.07501,0
org::eclipse::jdt::core::search::MethodDeclarationMatch,0,0,3,4.07501,0
org::eclipse::jdt::core::search::MethodReferenceMatch,1,9,13,9.97058,1
org::eclipse::jdt::core::search::PackageDeclarationMatch,0,0,3,4.07501,0
org::eclipse::jdt::core::search::PackageReferenceMatch,1,2,3,6.65039,1
org::eclipse::jdt::core::search::ReferenceMatch,1,1,10,0,1
org::eclipse::jdt::core::search::SearchDocument,1,2,16,4.07501,1
org::eclipse::jdt::core::search::SearchEngine,0,41,54,23.9899,0
org::eclipse::jdt::core::search::SearchMatch,0,13,111,8.50274,0
org::eclipse::jdt::core::search::SearchParticipant,0,11,30,13.6626,0
org::eclipse::jdt::core::search::SearchPattern,1,37,1126,28.279,1
org::eclipse::jdt::core::search::SearchRequestor,0,1,12,4.07501,0
org::eclipse::jdt::core::search::TypeDeclarationMatch,0,0,3,4.07501,0
org::eclipse::jdt::core::search::TypeNameMatch,0,10,23,5.79221,0
org::eclipse::jdt::core::search::TypeNameMatchRequestor,0,3,0,1.78303,0
org::eclipse::jdt::core::search::TypeNameRequestor,0,3,3,5.99114,0
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch,0,1,3,3.29051,0
org::eclipse::jdt::core::search::TypeParameterReferenceMatch,0,1,4,3.29051,0
org::eclipse::jdt::core::search::TypeReferenceMatch,2,6,16,8.6615,1
org::eclipse::jdt::core::Signature,1,37,841,26.5988,1
org::eclipse::jdt::core::ToolFactory,0,15,63,17.0375,0
org::eclipse::jdt::core::util::ByteCodeVisitorAdapter,1,0,612,4.07501,1
org::eclipse::jdt::core::util::ClassFileBytesDisassembler,0,2,0,3.83244,0
org::eclipse::jdt::core::util::ClassFormatException,0,0,3,4.07501,0
org::eclipse::jdt::core::util::CompilationUnitSorter,0,5,19,14.6865,0
org::eclipse::jdt::core::util::OpcodeStringValues,1,2,0,7.48389,1
org::eclipse::jdt::core::WorkingCopyOwner,0,3,17,15.6356,0
org::eclipse::jdt::internal::antadapter::AntAdapterMessages,0,1,12,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadoc,0,1,222,5.0061,0
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser,0,26,768,15.3647,0
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeDetector,0,3,29,9.58612,0
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound,0,1,3,6.94335,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationMemberValuePair,0,0,32,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationOfType,0,3,10,3.00217,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnArgumentName,0,2,27,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnBrankStatementLabel,0,1,23,2.36846,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnClassLiteralAccess,0,0,17,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall,0,0,41,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldName,0,2,20,7.8386,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldType,0,1,14,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnImportReference,0,0,12,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocAllocationExpression,0,4,56,4.01609,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocFieldReference,0,4,76,3.58431,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocMessageSend,0,3,56,1.5732,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocParamNameReference,0,7,17,3.58431,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocQualifiedTypeReference,0,3,56,1.5732,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocSingleTypeReference,0,3,55,1.5732,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTag,1,3,115,4.63008,1
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTypeParamReference,0,3,17,3.58431,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword1,0,2,23,6.93237,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword2,0,2,18,8.05174,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3,0,2,21,6.93237,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnLocalName,0,2,25,6.20089,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMarkerAnnotationName,0,1,15,6.94335,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberAccess,0,3,38,9.27985,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName,0,0,9,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSend,0,2,41,10.696,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSendName,0,2,44,2.07169,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodName,0,0,31,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType,0,1,12,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodTypeParameter,0,1,22,7.8386,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference,0,0,12,5.19438,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference,0,2,67,9.69849,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression,0,0,32,4.07501,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference,0,5,36,14.5866,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference,0,3,63,12.2036,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleNameReference,0,3,17,9.52046,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleTypeReference,0,5,63,12.52,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnStringLiteral,0,1,13,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionParser,1,102,4390,37.9039,1
org::eclipse::jdt::internal::codeassist::complete::CompletionScanner,0,24,796,19.3371,0
org::eclipse::jdt::internal::codeassist::complete::InvalidCursorLocation,0,0,3,4.07501,0
org::eclipse::jdt::internal::codeassist::CompletionElementNotifier,0,1,136,0,0
org::eclipse::jdt::internal::codeassist::CompletionEngine,7,205,7341,48.228,1
org::eclipse::jdt::internal::codeassist::CompletionRequestorWrapper,1,0,306,4.07501,1
org::eclipse::jdt::internal::codeassist::CompletionUnitStructureRequestor,0,2,128,1.29357,0
org::eclipse::jdt::internal::codeassist::impl::AssistAnnotation,0,1,7,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistCompilationUnit,0,1,21,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportContainer,0,1,10,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportDeclaration,0,1,7,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistInitializer,0,1,13,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistOptions,0,8,155,14.1631,0
org::eclipse::jdt::internal::codeassist::impl::AssistPackageDeclaration,0,1,10,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistParser,0,34,1384,21.8696,0
org::eclipse::jdt::internal::codeassist::impl::AssistSourceField,0,2,41,1.29357,0
org::eclipse::jdt::internal::codeassist::impl::AssistSourceMethod,0,2,44,1.29357,0
org::eclipse::jdt::internal::codeassist::impl::AssistSourceType,0,3,59,2.35255,0
org::eclipse::jdt::internal::codeassist::impl::AssistTypeParameter,0,1,7,0,0
org::eclipse::jdt::internal::codeassist::impl::Engine,1,20,230,20.393,1
org::eclipse::jdt::internal::codeassist::InternalCompletionContext,1,12,48,9.68336,1
org::eclipse::jdt::internal::codeassist::InternalCompletionProposal,1,5,127,10.0703,1
org::eclipse::jdt::internal::codeassist::InternalExtendedCompletionContext,2,4,648,2.38886,1
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser,0,3,186,2.51582,0
org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc,0,3,80,4.59811,0
org::eclipse::jdt::internal::codeassist::select::SelectionJavadocParser,0,4,123,10.1241,0
org::eclipse::jdt::internal::codeassist::select::SelectionNodeFound,0,2,4,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnArgumentName,0,1,26,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnExplicitConstructorCall,0,1,34,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldReference,0,1,23,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldType,0,1,10,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnImportReference,0,0,12,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnLocalName,0,2,24,6.20089,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnMessageSend,0,2,65,4.98614,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnNameOfMemberValuePair,0,0,17,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnPackageReference,0,0,11,5.19438,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedQualifiedTypeReference,0,3,43,9.21398,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedSingleTypeReference,0,0,21,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedAllocationExpression,0,4,59,9.07976,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference,0,4,42,6.73444,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedSuperReference,0,1,16,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedTypeReference,0,3,38,6.70304,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleNameReference,0,3,40,7.99656,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference,0,3,35,6.70304,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnSuperReference,0,1,16,4.07501,0
org::eclipse::jdt::internal::codeassist::select::SelectionParser,1,25,1189,19.7948,1
org::eclipse::jdt::internal::codeassist::select::SelectionScanner,0,1,31,4.07501,0
org::eclipse::jdt::internal::codeassist::SelectionEngine,1,56,1189,32.2544,1
org::eclipse::jdt::internal::codeassist::ThrownExceptionFinder,0,3,75,1.26759,0
org::eclipse::jdt::internal::codeassist::UnresolvedReferenceNameFinder,0,7,321,7.9636,0
org::eclipse::jdt::internal::compiler::AbstractAnnotationProcessorManager,0,2,0,5.54249,0
org::eclipse::jdt::internal::compiler::ast::AbstractMethodDeclaration,0,35,314,24.8564,0
org::eclipse::jdt::internal::compiler::ast::AbstractVariableDeclaration,0,1,57,6.20089,0
org::eclipse::jdt::internal::compiler::ast::AllocationExpression,1,20,337,24.5715,1
org::eclipse::jdt::internal::compiler::ast::AND_AND_Expression,0,12,230,12.0762,0
org::eclipse::jdt::internal::compiler::ast::Annotation,1,26,357,27.4521,1
org::eclipse::jdt::internal::compiler::ast::AnnotationMethodDeclaration,0,2,128,7.51373,0
org::eclipse::jdt::internal::compiler::ast::Argument,0,13,132,20.4932,0
org::eclipse::jdt::internal::compiler::ast::ArrayAllocationExpression,0,5,142,9.13341,0
org::eclipse::jdt::internal::compiler::ast::ArrayInitializer,0,17,195,20.2492,0
org::eclipse::jdt::internal::compiler::ast::ArrayQualifiedTypeReference,0,4,62,7.282,0
org::eclipse::jdt::internal::compiler::ast::ArrayReference,0,10,158,17.5763,0
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference,0,4,52,6.73444,0
org::eclipse::jdt::internal::compiler::ast::AssertStatement,2,9,163,14.8017,1
org::eclipse::jdt::internal::compiler::ast::Assignment,0,28,221,27.6825,0
org::eclipse::jdt::internal::compiler::ast::ASTNode,1,55,484,37.8606,1
org::eclipse::jdt::internal::compiler::ast::BinaryExpression,0,18,1782,19.8456,0
org::eclipse::jdt::internal::compiler::ast::Block,0,5,97,5.26853,0
org::eclipse::jdt::internal::compiler::ast::BranchStatement,0,10,39,11.17,0
org::eclipse::jdt::internal::compiler::ast::BreakStatement,0,6,72,7.32455,0
org::eclipse::jdt::internal::compiler::ast::CaseStatement,0,15,96,21.1473,0
org::eclipse::jdt::internal::compiler::ast::CastExpression,1,50,431,34.6202,1
org::eclipse::jdt::internal::compiler::ast::CharLiteral,0,1,72,7.18983,0
org::eclipse::jdt::internal::compiler::ast::ClassLiteralAccess,0,9,72,23.7357,0
org::eclipse::jdt::internal::compiler::ast::Clinit,2,14,231,15.4387,1
org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression,0,4,266,3.63513,0
org::eclipse::jdt::internal::compiler::ast::CompilationUnitDeclaration,2,29,536,30.7687,1
org::eclipse::jdt::internal::compiler::ast::CompoundAssignment,0,6,150,13.7206,0
org::eclipse::jdt::internal::compiler::ast::ConditionalExpression,0,24,445,20.8651,0
org::eclipse::jdt::internal::compiler::ast::ConstructorDeclaration,3,40,437,29.7618,1
org::eclipse::jdt::internal::compiler::ast::ContinueStatement,0,6,75,7.3557,0
org::eclipse::jdt::internal::compiler::ast::DoStatement,0,17,163,14.2097,0
org::eclipse::jdt::internal::compiler::ast::DoubleLiteral,0,2,85,7.15525,0
org::eclipse::jdt::internal::compiler::ast::EmptyStatement,0,1,32,7.98927,0
org::eclipse::jdt::internal::compiler::ast::EqualExpression,0,21,799,19.5457,0
org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall,1,21,364,23.2611,1
org::eclipse::jdt::internal::compiler::ast::Expression,0,57,760,33.6845,0
org::eclipse::jdt::internal::compiler::ast::ExtendedStringLiteral,0,3,29,5.19438,0
org::eclipse::jdt::internal::compiler::ast::FalseLiteral,0,2,38,7.2883,0
org::eclipse::jdt::internal::compiler::ast::FieldDeclaration,0,41,241,30.6378,0
org::eclipse::jdt::internal::compiler::ast::FieldReference,6,43,547,27.3399,1
org::eclipse::jdt::internal::compiler::ast::FloatLiteral,0,2,85,7.15525,0
org::eclipse::jdt::internal::compiler::ast::ForeachStatement,2,24,451,23.6077,1
org::eclipse::jdt::internal::compiler::ast::ForStatement,0,18,343,16.4642,0
org::eclipse::jdt::internal::compiler::ast::IfStatement,0,15,192,13.3833,0
org::eclipse::jdt::internal::compiler::ast::ImportReference,0,2,35,7.7102,0
org::eclipse::jdt::internal::compiler::ast::Initializer,0,4,81,7.6133,0
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression,1,13,70,16.213,1
org::eclipse::jdt::internal::compiler::ast::IntLiteral,0,4,110,9.8326,0
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue,0,0,7,4.08525,0
org::eclipse::jdt::internal::compiler::ast::Javadoc,3,48,708,24.4246,1
org::eclipse::jdt::internal::compiler::ast::JavadocAllocationExpression,0,27,142,21.221,0
org::eclipse::jdt::internal::compiler::ast::JavadocArgumentExpression,0,15,66,19.225,0
org::eclipse::jdt::internal::compiler::ast::JavadocArrayQualifiedTypeReference,0,6,13,6.60309,0
org::eclipse::jdt::internal::compiler::ast::JavadocArraySingleTypeReference,0,6,14,6.60309,0
org::eclipse::jdt::internal::compiler::ast::JavadocFieldReference,1,22,87,20.2148,1
org::eclipse::jdt::internal::compiler::ast::JavadocImplicitTypeReference,0,9,91,17.2339,0
org::eclipse::jdt::internal::compiler::ast::JavadocMessageSend,0,28,174,22.6963,0
